order_id,item_id,menu_item_id,restaurant_id,quantity,unit_price,item_discount,line_total
ORD202501006518,ITEM001,MENU12962_3216,REST12962,2,48.31,0,96.62
ORD202501006518,ITEM002,MENU12962_1962,REST12962,3,61.24,0,183.71
ORD202501019281,ITEM001,MENU14069_0510,REST14069,2,87.19,0,174.38
ORD202501019281,ITEM002,MENU14069_4308,REST14069,3,84.67,0,254
ORD202501023439,ITEM001,MENU08622_7574,REST08622,2,235.81,35.44,436.18
ORD202501000124,ITEM001,MENU19745_4217,REST19745,2,61.26,0,122.52
ORD202501000124,ITEM002,MENU19745_4386,REST19745,3,28.93,0,86.79
ORD202501000124,ITEM003,MENU19745_0339,REST19745,2,25.75,0,51.5
ORD202501012051,ITEM001,MENU02383_3232,REST02383,3,85.23,0,255.68
ORD202501018255,ITEM001,MENU01307_1280,REST01307,2,155.48,0,310.95
ORD202501004299,ITEM001,MENU12542_8920,REST12542,1,206.41,0,206.41
ORD202501018036,ITEM001,MENU13907_3110,REST13907,1,127.99,20.59,107.41
ORD202501018036,ITEM002,MENU13907_9884,REST13907,1,53.36,8.58,44.78
ORD202501018036,ITEM003,MENU13907_1338,REST13907,2,59.47,19.14,99.8
ORD202501009329,ITEM001,MENU10267_3494,REST10267,1,371.6,0,371.6
ORD202501007498,ITEM001,MENU05434_6914,REST05434,1,306.23,33.38,272.85
ORD202501007724,ITEM001,MENU08451_9033,REST08451,3,27.53,17.17,65.42
ORD202501007724,ITEM002,MENU08451_8301,REST08451,1,27.63,5.75,21.88
ORD202501007724,ITEM003,MENU08451_0710,REST08451,3,18.07,11.27,42.94
ORD202501002349,ITEM001,MENU00225_8273,REST00225,3,39.51,0,118.53
ORD202501002349,ITEM002,MENU00225_0229,REST00225,3,43.53,0,130.58
ORD202501002349,ITEM003,MENU00225_7385,REST00225,3,37.63,0,112.89
ORD202501009188,ITEM001,MENU13916_8617,REST13916,2,89.74,22.32,157.16
ORD202501009188,ITEM002,MENU13916_3518,REST13916,2,126.38,31.43,221.33
ORD202501000464,ITEM001,MENU16733_8872,REST16733,1,142.95,0,142.95
ORD202501000464,ITEM002,MENU16733_0481,REST16733,1,207.54,0,207.54
ORD202501002552,ITEM001,MENU09262_5229,REST09262,2,148.32,0,296.63
ORD202501016360,ITEM001,MENU13839_8574,REST13839,3,100.72,17.86,284.3
ORD202501023625,ITEM001,MENU12102_7746,REST12102,3,94.15,38.74,243.7
ORD202501019777,ITEM001,MENU01441_5388,REST01441,3,29.95,0,89.85
ORD202501019777,ITEM002,MENU01441_4723,REST01441,2,49.88,0,99.75
ORD202501003201,ITEM001,MENU03046_2630,REST03046,2,30.63,0,61.26
ORD202501003201,ITEM002,MENU03046_7726,REST03046,1,23.12,0,23.12
ORD202501003201,ITEM003,MENU03046_7717,REST03046,2,22.65,0,45.3
ORD202501003201,ITEM004,MENU03046_3583,REST03046,2,38.91,0,77.82
ORD202501003201,ITEM005,MENU03046_7367,REST03046,3,31.43,0,94.28
ORD202501000545,ITEM001,MENU09769_4870,REST09769,2,176,0,352.01
ORD202501002874,ITEM001,MENU16824_5553,REST16824,1,61.5,0,61.5
ORD202501002874,ITEM002,MENU16824_1730,REST16824,2,70.72,0,141.44
ORD202501017575,ITEM001,MENU02776_0337,REST02776,1,159.06,20.46,138.6
ORD202501019797,ITEM001,MENU16349_9022,REST16349,2,80.09,0,160.18
ORD202501019797,ITEM002,MENU16349_0558,REST16349,3,73.58,0,220.74
ORD202501021971,ITEM001,MENU14036_3893,REST14036,3,42.37,0,127.11
ORD202501021971,ITEM002,MENU14036_3051,REST14036,3,59.49,0,178.47
ORD202501016346,ITEM001,MENU18854_0088,REST18854,2,31.6,14.88,48.31
ORD202501016346,ITEM002,MENU18854_5512,REST18854,1,36.17,8.52,27.65
ORD202501016346,ITEM003,MENU18854_5886,REST18854,1,22.79,5.37,17.42
ORD202501016346,ITEM004,MENU18854_6475,REST18854,2,31.44,14.81,48.07
ORD202501016346,ITEM005,MENU18854_9971,REST18854,1,42.34,9.97,32.37
ORD202501003159,ITEM001,MENU00857_0743,REST00857,1,28.14,0,28.14
ORD202501003159,ITEM002,MENU00857_8374,REST00857,1,71.26,0,71.26
ORD202501003159,ITEM003,MENU00857_4390,REST00857,3,81.17,0,243.52
ORD202501006768,ITEM001,MENU05538_0368,REST05538,2,385.01,108.13,661.89
ORD202501014460,ITEM001,MENU01359_5427,REST01359,3,102.96,0,308.88
ORD202501011353,ITEM001,MENU11834_5030,REST11834,1,147.75,0,147.75
ORD202501011353,ITEM002,MENU11834_7543,REST11834,2,94.81,0,189.62
ORD202501019978,ITEM001,MENU16310_8104,REST16310,2,63.11,0,126.22
ORD202501019978,ITEM002,MENU16310_9060,REST16310,2,41.33,0,82.66
ORD202501019978,ITEM003,MENU16310_2582,REST16310,3,61.62,0,184.87
ORD202501006331,ITEM001,MENU03421_8342,REST03421,3,126.9,0,380.71
ORD202501018102,ITEM001,MENU14521_9876,REST14521,2,66.21,7.29,125.13
ORD202501018102,ITEM002,MENU14521_0611,REST14521,3,48.6,8.03,137.78
ORD202501023947,ITEM001,MENU15674_7282,REST15674,2,42.51,0,85.01
ORD202501023947,ITEM002,MENU15674_9901,REST15674,1,54.41,0,54.41
ORD202501023947,ITEM003,MENU15674_7439,REST15674,3,27.41,0,82.23
ORD202501008563,ITEM001,MENU05846_7662,REST05846,1,869.15,0,869.15
ORD202501022124,ITEM001,MENU02134_8978,REST02134,2,58.9,0,117.81
ORD202501022124,ITEM002,MENU02134_3884,REST02134,2,54.92,0,109.84
ORD202501022124,ITEM003,MENU02134_5643,REST02134,2,34.78,0,69.56
ORD202501008903,ITEM001,MENU19821_1738,REST19821,1,265.64,0,265.64
ORD202501008565,ITEM001,MENU18077_9369,REST18077,1,145.51,0,145.51
ORD202501008565,ITEM002,MENU18077_5093,REST18077,2,111.87,0,223.74
ORD202501023337,ITEM001,MENU05332_8141,REST05332,1,65.58,16.3,49.28
ORD202501023337,ITEM002,MENU05332_6298,REST05332,1,52.29,13,39.29
ORD202501023337,ITEM003,MENU05332_6466,REST05332,1,40.52,10.07,30.45
ORD202501016944,ITEM001,MENU17055_2203,REST17055,1,429.51,0,429.51
ORD202501021890,ITEM001,MENU19428_3664,REST19428,1,84.24,4.58,79.66
ORD202501021890,ITEM002,MENU19428_2700,REST19428,1,62.39,3.39,59
ORD202501021890,ITEM003,MENU19428_2086,REST19428,2,92.62,10.06,175.17
ORD202501017303,ITEM001,MENU00617_6662,REST00617,3,122.55,42.64,325.01
ORD202501020906,ITEM001,MENU11164_1268,REST11164,3,72.96,51.72,167.16
ORD202501020906,ITEM002,MENU11164_0065,REST11164,1,62.46,14.76,47.7
ORD202501020906,ITEM003,MENU11164_3747,REST11164,2,131.12,61.98,200.25
ORD202501003553,ITEM001,MENU11743_1603,REST11743,3,33.72,0,101.16
ORD202501003553,ITEM002,MENU11743_3233,REST11743,1,68.47,0,68.47
ORD202501003553,ITEM003,MENU11743_7705,REST11743,3,63.27,0,189.82
ORD202501019802,ITEM001,MENU02780_9603,REST02780,2,87.33,39.01,135.65
ORD202501019802,ITEM002,MENU02780_5081,REST02780,3,69.54,46.6,162.02
ORD202501001438,ITEM001,MENU10211_8922,REST10211,2,70.83,0,141.66
ORD202501001438,ITEM002,MENU10211_3563,REST10211,3,74.49,0,223.48
ORD202501022663,ITEM001,MENU16919_7784,REST16919,2,110.6,15.09,206.12
ORD202501022663,ITEM002,MENU16919_4937,REST16919,1,83.88,5.72,78.16
ORD202501015020,ITEM001,MENU03730_6205,REST03730,2,86.58,19.82,153.33
ORD202501015020,ITEM002,MENU03730_9732,REST03730,1,63.64,7.29,56.35
ORD202501015020,ITEM003,MENU03730_6532,REST03730,3,51.11,17.55,135.78
ORD202501007454,ITEM001,MENU03446_4140,REST03446,1,303.83,31.06,272.77
ORD202501007454,ITEM002,MENU03446_3636,REST03446,1,215.18,22,193.18
ORD202501006871,ITEM001,MENU12873_2973,REST12873,1,58.19,0,58.19
ORD202501006871,ITEM002,MENU12873_0468,REST12873,1,81.82,0,81.82
ORD202501006871,ITEM003,MENU12873_3437,REST12873,1,44.15,0,44.15
ORD202501006871,ITEM004,MENU12873_2997,REST12873,3,62.66,0,187.97
ORD202501014844,ITEM001,MENU16740_4888,REST16740,1,102.08,0,102.08
ORD202501014844,ITEM002,MENU16740_9043,REST16740,1,59.56,0,59.56
ORD202501014844,ITEM003,MENU16740_7575,REST16740,2,150.33,0,300.66
ORD202501009545,ITEM001,MENU03622_1475,REST03622,1,36.14,0,36.14
ORD202501009545,ITEM002,MENU03622_1362,REST03622,1,107.47,0,107.47
ORD202501009545,ITEM003,MENU03622_7684,REST03622,2,107.9,0,215.8
ORD202501019834,ITEM001,MENU02799_4874,REST02799,1,279.77,0,279.77
ORD202501000377,ITEM001,MENU02138_4583,REST02138,1,98.98,0,98.98
ORD202501000377,ITEM002,MENU02138_4332,REST02138,2,91.15,0,182.3
ORD202501008435,ITEM001,MENU18615_6151,REST18615,1,85.9,5.37,80.53
ORD202501008435,ITEM002,MENU18615_5179,REST18615,3,103.86,19.46,292.11
ORD202501020936,ITEM001,MENU17572_9431,REST17572,3,36.74,0,110.23
ORD202501020936,ITEM002,MENU17572_9146,REST17572,1,67.35,0,67.35
ORD202501008187,ITEM001,MENU07850_7370,REST07850,1,30.39,0,30.39
ORD202501008187,ITEM002,MENU07850_0399,REST07850,2,71.74,0,143.48
ORD202501008187,ITEM003,MENU07850_5030,REST07850,2,71.5,0,143
ORD202501019832,ITEM001,MENU09824_9573,REST09824,3,19.41,0,58.23
ORD202501019832,ITEM002,MENU09824_3767,REST09824,3,53.5,0,160.51
ORD202501019832,ITEM003,MENU09824_7621,REST09824,2,24.5,0,49
ORD202501013652,ITEM001,MENU00532_6608,REST00532,2,171.1,0,342.21
ORD202501016646,ITEM001,MENU19360_5679,REST19360,1,65.79,0,65.79
ORD202501016646,ITEM002,MENU19360_6622,REST19360,2,56.08,0,112.16
ORD202501016646,ITEM003,MENU19360_0762,REST19360,2,53.72,0,107.44
ORD202501019282,ITEM001,MENU19897_5407,REST19897,3,27.18,10.62,70.92
ORD202501019282,ITEM002,MENU19897_2885,REST19897,2,67.03,17.47,116.58
ORD202501015659,ITEM001,MENU05296_2971,REST05296,3,45.94,0,137.83
ORD202501015659,ITEM002,MENU05296_6218,REST05296,1,42.17,0,42.17
ORD202501019201,ITEM001,MENU15289_0736,REST15289,2,42.1,7.7,76.5
ORD202501019201,ITEM002,MENU15289_9547,REST15289,1,42.42,3.88,38.54
ORD202501019201,ITEM003,MENU15289_0958,REST15289,1,113.56,10.38,103.18
ORD202501017479,ITEM001,MENU15617_1628,REST15617,2,101.49,47.2,155.78
ORD202501007798,ITEM001,MENU15207_5792,REST15207,2,106.29,27.9,184.69
ORD202501007798,ITEM002,MENU15207_6399,REST15207,3,64.8,25.52,168.88
ORD202501016418,ITEM001,MENU01696_0916,REST01696,3,125.04,0,375.11
ORD202501012777,ITEM001,MENU14773_4228,REST14773,3,31.01,0,93.03
ORD202501012777,ITEM002,MENU14773_0846,REST14773,3,23.63,0,70.89
ORD202501012777,ITEM003,MENU14773_3626,REST14773,1,41.03,0,41.03
ORD202501012777,ITEM004,MENU14773_4515,REST14773,2,47.86,0,95.73
ORD202501009148,ITEM001,MENU09335_4660,REST09335,2,41.12,0,82.23
ORD202501009148,ITEM002,MENU09335_2092,REST09335,2,31.08,0,62.16
ORD202501009148,ITEM003,MENU09335_7206,REST09335,3,22.4,0,67.2
ORD202501009148,ITEM004,MENU09335_5003,REST09335,1,18.46,0,18.46
ORD202501006131,ITEM001,MENU08536_2068,REST08536,3,97.22,0,291.66
ORD202501006131,ITEM002,MENU08536_4412,REST08536,1,63.59,0,63.59
ORD202501012929,ITEM001,MENU00234_2311,REST00234,3,105.11,71.68,243.66
ORD202501012320,ITEM001,MENU01931_3922,REST01931,1,149.3,20.34,128.96
ORD202501000787,ITEM001,MENU13684_9151,REST13684,1,304.79,40.83,263.96
ORD202501008628,ITEM001,MENU13925_3704,REST13925,1,310.91,0,310.91
ORD202501011828,ITEM001,MENU01765_4945,REST01765,1,62.7,10.83,51.87
ORD202501011828,ITEM002,MENU01765_5994,REST01765,2,80.87,27.93,133.81
ORD202501011828,ITEM003,MENU01765_9785,REST01765,2,41.71,14.4,69.02
ORD202501014786,ITEM001,MENU11047_3912,REST11047,2,147.06,0,294.12
ORD202501014786,ITEM002,MENU11047_4522,REST11047,2,154.82,0,309.63
ORD202501004720,ITEM001,MENU15708_9983,REST15708,2,54.15,8.69,99.61
ORD202501004720,ITEM002,MENU15708_4732,REST15708,2,57.71,9.25,106.18
ORD202501004720,ITEM003,MENU15708_3397,REST15708,1,28.77,2.31,26.46
ORD202501004720,ITEM004,MENU15708_7991,REST15708,1,20.18,1.62,18.56
ORD202501004720,ITEM005,MENU15708_8743,REST15708,1,48.3,3.87,44.43
ORD202501012443,ITEM001,MENU01627_6845,REST01627,3,85.27,59.16,196.64
ORD202501021095,ITEM001,MENU07188_9834,REST07188,3,58.76,24.79,151.49
ORD202501021095,ITEM002,MENU07188_2858,REST07188,1,66.38,9.34,57.04
ORD202501021095,ITEM003,MENU07188_4151,REST07188,2,98.8,27.79,169.81
ORD202501013823,ITEM001,MENU03932_3251,REST03932,2,79.4,0,158.8
ORD202501013823,ITEM002,MENU03932_1589,REST03932,1,81.83,0,81.83
ORD202501013823,ITEM003,MENU03932_2627,REST03932,2,89.08,0,178.17
ORD202501010477,ITEM001,MENU11261_2665,REST11261,2,36.07,0,72.14
ORD202501010477,ITEM002,MENU11261_6388,REST11261,2,13.7,0,27.4
ORD202501010477,ITEM003,MENU11261_5090,REST11261,2,31.44,0,62.88
ORD202501009946,ITEM001,MENU14408_9470,REST14408,1,56.94,10.77,46.17
ORD202501009946,ITEM002,MENU14408_5636,REST14408,1,69.33,13.11,56.22
ORD202501009946,ITEM003,MENU14408_0753,REST14408,3,56.16,31.86,136.61
ORD202501017028,ITEM001,MENU02744_2700,REST02744,2,80.68,0,161.37
ORD202501010107,ITEM001,MENU04195_4307,REST04195,2,271.42,0,542.83
ORD202501004956,ITEM001,MENU00341_3504,REST00341,2,96.92,41.9,151.95
ORD202501004956,ITEM002,MENU00341_3315,REST00341,1,78.27,16.92,61.35
ORD202501002374,ITEM001,MENU00488_5165,REST00488,3,59.81,0,179.43
ORD202501002374,ITEM002,MENU00488_1578,REST00488,2,72.02,0,144.04
ORD202501002374,ITEM003,MENU00488_1099,REST00488,1,88.83,0,88.83
ORD202501024004,ITEM001,MENU13448_7230,REST13448,3,54.94,27.11,137.7
ORD202501024004,ITEM002,MENU13448_3916,REST13448,2,45.24,14.89,75.59
ORD202501008410,ITEM001,MENU04267_2558,REST04267,3,113.75,25.45,315.81
ORD202501005758,ITEM001,MENU13279_0471,REST13279,2,76.52,30.59,122.45
ORD202501020301,ITEM001,MENU19787_5943,REST19787,3,42.68,8.7,119.34
